Item_name,Warranty Period(Years),Screen Size,Cpu,Ram,Gpu,OpSys,Weight,Price,Label of Model,Label number,Category
Asus E402WA-GA010T (E2-6110/2GB/32GB/W10) Notebook,1,14,A,2,Q,WI,1.65,15430,Dell Inspiron 3565 Laptop,1,Home User
Acer Chromebook C910-C2ST Notebook,1,15.6,A,2,P,CH,2.19,15430,Dell Inspiron 3565 Laptop,1,Home User
Vero K146 (N3350/4GB/32GB/W10) Notebook,1,14,A,4,P,WI,1.22,15733,Dell Inspiron 3565 Laptop,1,Home User
Asus A541NA-GO342 (N3350/4GB/500GB/LI) Notebook,1,15.6,A,4,P,LI,2,17369,Dell Inspiron 3565 Laptop,1,Home User
HP Stream 14-AX040wm Notebook,3,14,A,4,P,WI,1.44,17757,Dell Inspiron 3565 Laptop,1,Home User
Mediacom SmartBook 140 Notebook,1,14,A,2,P,WI,1.4,18532,Dell Inspiron 3565 Laptop,1,Home User
Asus VivoBook E12 Netbook,1,11.6,A,2,P,WI,1.1,18997,Dell Inspiron 3565 Laptop,1,Home User
"Chuwi LapBook 15.6"" Notebook",1,15.6,A,4,P,WI,1.89,18997,Dell Inspiron 3565 Laptop,1,Home User
"Chuwi Lapbook 15,6 Notebook",1,15.6,A,4,P,WI,1.89,19300,Dell Inspiron 3565 Laptop,1,Home User
Mediacom SmartBook 141 Notebook,3,14,A,4,P,WI,1.4,19307,Dell Inspiron 3565 Laptop,1,Home User
Lenovo IdeaPad 100S-14IBR Notebook,1,14,A,2,P,WI,1.42,19307,Dell Inspiron 3565 Laptop,1,Home User
Lenovo IdeaPad 120S-14IAP Notebook,1,14,A,4,P,WI,1.44,19307,Dell Inspiron 3565 Laptop,1,Home User
Lenovo V110-15IAP (N3350/4GB/1TB/No Notebook,1,15.6,A,4,P,NO,1.9,19568,Dell Inspiron 3565 Laptop,1,Home User
Mediacom SmartBook 130 Notebook,1,13.3,A,4,P,WI,1.35,19773,Dell Inspiron 3565 Laptop,1,Home User
HP 255 G6 Notebook,1,15.6,A,4,P,NO,1.86,20005,Dell Inspiron 3565 Laptop,1,Home User
HP 250 G6 Notebook,1,15.6,A,4,P,NO,1.86,20083,Dell Inspiron 3565 Laptop,1,Home User
Vero K147 (N3350/4GB/32GB/FHD/W10) Notebook,1,14,A,4,P,WI,1.3,20160,Dell Inspiron 3565 Laptop,1,Home User
Lenovo Chromebook N23 Netbook,1,11.6,A,4,P,CH,1.25,20548,Dell Inspiron 3565 Laptop,1,Home User
Mediacom Smartbook 142 Notebook,3,14,A,4,P,WI,1.4,20548,Dell Inspiron 3565 Laptop,1,Home User
Samsung Chromebook 3 Netbook,1,11.6,A,4,P,CH,1.15,20858,Dell Inspiron 3565 Laptop,1,Home User
Acer TravelMate B117-M Netbook,1,11.6,A,4,P,WI,1.4,20858,Dell Inspiron 3565 Laptop,1,Home User
Lenovo V110-15IAP (N3350/4GB/128GB/No Notebook,1,15.6,A,4,P,NO,1.9,20984,Dell Inspiron 3565 Laptop,1,Home User
Lenovo IdeaPad 100S-14IBR Notebook,1,14,A,4,P,WI,1.43,21246,Dell Inspiron 3565 Laptop,1,Home User
Dell Inspiron 3552 Notebook,1,15.6,A,4,P,LI,2.2,21316,Dell Inspiron 3565 Laptop,1,Home User
Asus X541NA (N3350/4GB/1TB/LI) Notebook,1,15.6,A,4,P,LI,2,21323,Dell Inspiron 3565 Laptop,1,Home User
Asus VivoBook Flip 2 in 1 Convertible,1,11.6,A,2,P,WI,1.1,21324,Dell Inspiron 3565 Laptop,1,Home User
Asus E402WA-GA007T (E2-6110/4GB/64GB/W10 Notebook,1,14,A,4,Q,WI,1.65,21555,Dell Inspiron 3565 Laptop,1,Home User
HP Stream 14-AX001nv Notebook,1,14,A,2,P,WI,1.44,21634,Dell Inspiron 3565 Laptop,1,Home User
Asus VivoBook E403NA Notebook,1,14,A,4,P,WI,1.5,22176,Dell Inspiron 3565 Laptop,1,Home User
HP 250 G6 Notebook,2,15.6,A,4,P,NO,1.86,22401,Dell Inspiron 3565 Laptop,1,Home User
Lenovo IdeaPad 120S-14IAP Notebook,1,14,A,4,P,WI,1.44,22642,Dell Inspiron 3565 Laptop,1,Home User
Dell Chromebook 11 Netbook,1,11.6,A,4,P,CH,1.26,22874,Dell Inspiron 3565 Laptop,1,Home User
Acer Chromebook C731-C78G Netbook,2,11.6,A,4,P,CH,1.25,23029,Dell Inspiron 3565 Laptop,1,Home User
Asus VivoBook E403NA Notebook,1,14,A,4,P,WI,1.5,23107,Dell Inspiron 3565 Laptop,1,Home User
Acer Aspire A315-31 Notebook,1,15.6,A,4,Q,LI,2.1,23107,Dell Inspiron 3565 Laptop,1,Home User
Lenovo 110-15ACL (A6-7310/4GB/500GB/W10) Notebook,3,15.6,A,4,Q,WI,2.19,23107,Dell Inspiron 3565 Laptop,1,Home User
Mediacom FlexBook Edge 2 in 1 Convertible,1,11.6,A,4,P,WI,1.16,23184,Dell Inspiron 3565 Laptop,1,Home User
Lenovo IdeaPad 320-14IAP Notebook,1,14,A,4,P,WI,2.1,23184,Dell Inspiron 3565 Laptop,1,Home User
Asus R417NA-RS01 (N3350/4GB/32GB/W10) Notebook,1,14,A,4,P,WI,1.63,23184,Dell Inspiron 3565 Laptop,1,Home User
HP 250 G6 Notebook,3,15.6,A,4,P,NO,1.86,23184,Dell Inspiron 3565 Laptop,1,Home User
Asus X541NA-PD1003Y (N4200/4GB/500GB/W10) Notebook,1,15.6,A,4,P,WI,2,23572,Dell Inspiron 3565 Laptop,1,Home User
Lenovo Lenovo IdeaPad Notebook,1,11.6,A,2,P,WI,1.15,23607,Dell Inspiron 3565 Laptop,1,Home User
Lenovo IdeaPad 320-15IAP Notebook,1,15.6,A,4,P,WI,2.2,23727,Dell Inspiron 3565 Laptop,1,Home User
Dell Inspiron 3552 Notebook,1,15.6,A,4,P,WI,1.8,23960,Dell Inspiron 3565 Laptop,1,Home User
Lenovo IdeaPad 320-15AST Notebook,1,15.6,A,4,Q,NO,2.2,23960,Dell Inspiron 3565 Laptop,1,Home User
Lenovo IdeaPad 320-15IAP Notebook,2,15.6,A,4,Q,WI,2.2,23960,Dell Inspiron 3565 Laptop,1,Home User
Lenovo V110-15ISK (3855U/4GB/500GB/W10) Notebook,3,15.6,A,4,Q,WI,2.1,24658,Dell Inspiron 3565 Laptop,1,Home User
Lenovo IdeaPad 320-15IAP Notebook,1,15.6,A,4,P,NO,2.2,24967,Dell Inspiron 3565 Laptop,1,Home User
Lenovo N42-20 Chromebook Notebook,2,14,A,4,P,CH,1.5,25201,Dell Inspiron 3467 Laptop,2,Home User
Acer Aspire 1 Notebook,1,14,A,4,P,WI,1.6,25511,Dell Inspiron 3467 Laptop,2,Home User
Lenovo IdeaPad 110-15IBR Notebook,1,15.6,A,8,P,NO,2.2,25511,Dell Inspiron 3467 Laptop,2,Home User
Acer Chromebook 14 Notebook,1,14,A,2,P,CH,1.68,25588,Dell Inspiron 3467 Laptop,2,Home User
HP 15-rb013nv (E2-9000e/4GB/500GB/W10) Notebook,1,15.6,A,4,Q,WI,2.1,25588,Dell Inspiron 3467 Laptop,2,Home User
Asus VivoBook E201NA Netbook,0,11.6,A,4,P,WI,1.2,26364,Dell Inspiron 3467 Laptop,2,Home User
Asus X541NA (N3350/4GB/1TB/FHD/W10) Notebook,1,15.6,A,4,P,WI,2,26674,Dell Inspiron 3467 Laptop,2,Home User
Lenovo IdeaPad 320-15IAP Notebook,1,15.6,A,4,P,WI,2.2,26674,Dell Inspiron 3467 Laptop,2,Home User
HP 250 G6 Notebook,1,15.6,A,4,R,NO,1.86,26751,Dell Inspiron 3467 Laptop,2,Home User
HP 15-ra044nv (N3060/4GB/500GB/W10) Notebook,1,15.6,A,4,P,WI,2.1,26906,Dell Inspiron 3467 Laptop,2,Home User
Asus VivoBook L402NA Notebook,1,14.1,A,4,P,WI,1.65,26984,Dell Inspiron 3467 Laptop,2,Home User
Acer Aspire A315-31 Notebook,3,15.6,A,4,P,WI,2.1,26984,Dell Inspiron 3467 Laptop,2,Home User
Acer Spin SP111-31 2 in 1 Convertible,1,11.6,A,4,P,WI,1.25,27061,Dell Inspiron 3467 Laptop,2,Home User
Acer Chromebook 14 Notebook,3,14,A,4,P,CH,1.68,27061,Dell Inspiron 3467 Laptop,2,Home User
Acer Swift SF114-31-P5HY Notebook,1,14,A,4,P,WI,1.6,27061,Dell Inspiron 3467 Laptop,2,Home User
Lenovo IdeaPad 320-15IAP Notebook,1,15.6,A,4,P,WI,2.2,27061,Dell Inspiron 3467 Laptop,2,Home User
HP 15-bw000nv (E2-9000e/4GB/500GB/Radeon Notebook,3,15.6,A,4,Q,WI,2.1,27061,Dell Inspiron 3467 Laptop,2,Home User
Asus VivoBook X540YA-XX519T Notebook,1,15.6,A,4,Q,WI,2,27061,Dell Inspiron 3467 Laptop,2,Home User
Lenovo IdeaPad 320-15AST Notebook,3,15.6,A,4,Q,WI,2.2,27061,Dell Inspiron 3467 Laptop,2,Home User
HP 15-bs018nq (i3-6006U/4GB/500GB/FHD/No Notebook,1,15.6,A,4,R,NO,2.1,27061,Dell Inspiron 3467 Laptop,2,Home User
Acer Chromebook 11 Netbook,3,11.6,A,4,P,CH,1.35,27527,Dell Inspiron 3467 Laptop,2,Home User
Acer Chromebook CB5-571-C1DZ Notebook,1,15.6,A,4,P,CH,2.2,27837,Dell Inspiron 3467 Laptop,2,Home User
Dell Inspiron 3567 Notebook,1,15.6,A,4,R,LI,2.25,27837,Dell Inspiron 3467 Laptop,2,Home User
Lenovo IdeaPad 320-15IAP Notebook,1,15.6,A,4,P,NO,2.2,27914,Dell Inspiron 3467 Laptop,2,Home User
Acer Aspire 3 Notebook,3,15.6,A,4,Q,WI,2.1,28187,Dell Inspiron 3467 Laptop,2,Home User
HP 250 G6 Notebook,1,15.6,A,4,R,NO,1.86,28294,Dell Inspiron 3467 Laptop,2,Home User
Acer Aspire 3 Notebook,1,15.6,B,4,P,LI,2.1,28457,Dell Inspiron 3467 Laptop,2,Home User
Mediacom SmartBook Edge Notebook,1,13.3,A,4,P,WI,1.2,28612,Dell Inspiron 3467 Laptop,2,Home User
Dell Inspiron 3552 Notebook,2,15.6,A,4,P,WI,2.2,28612,Dell Inspiron 3467 Laptop,2,Home User
Lenovo IdeaPad 320-15ISK Notebook,2,15.6,A,4,Q,NO,2.2,28612,Dell Inspiron 3467 Laptop,2,Home User
HP 255 G6 Notebook,1,15.6,A,4,Q,WI,1.86,28612,Dell Inspiron 3467 Laptop,2,Home User
Asus VivoBook Flip 2 in 1 Convertible,1,11.6,A,4,P,WI,1.5,29078,Dell Inspiron 3467 Laptop,2,Home User
Acer Chromebook 14 Notebook,3,14,A,4,Q,CH,1.45,29078,Dell Inspiron 3467 Laptop,2,Home User
Acer CB5-132T-C9KK (N3160/4GB/32GB/Chrome 2 in 1 Convertible,1,11.6,A,4,P,CH,1.25,29388,Dell Inspiron 3467 Laptop,2,Home User
Lenovo IdeaPad 110-17ACL Notebook,1,17.3,A,4,Q,WI,2.8,29388,Dell Inspiron 3467 Laptop,2,Home User
Acer Aspire ES1-533 Notebook,3,15.6,A,4,Q,WI,2.4,29465,Dell Inspiron 3467 Laptop,2,Home User
Acer Aspire 3 Notebook,1,15.6,B,4,P,WI,2.4,29775,Dell Inspiron 3467 Laptop,2,Home User
HP Chromebook 11 Netbook,1,11.6,A,4,P,CH,1.23,29853,Dell Inspiron 3467 Laptop,2,Home User
Acer Chromebook C738T-C2EJ 2 in 1 Convertible,1,11.6,A,4,P,CH,1.25,30163,Dell Inspiron 11 3148 Laptop,3,Student
HP 14-am079na (N3710/8GB/2TB/W10) Notebook,1,14,A,8,P,WI,1.94,30163,Dell Inspiron 11 3148 Laptop,3,Student
Mediacom SmartBook Edge Notebook,1,14,A,4,P,WI,1.45,30163,Dell Inspiron 11 3148 Laptop,3,Student
Acer Aspire E5-475 Notebook,3,14,A,8,R,WI,2.1,30163,Dell Inspiron 11 3148 Laptop,3,Student
Asus X540UA-DM186 (i3-6006U/4GB/1TB/FHD/LI) Notebook,3,15.6,A,4,P,LI,2,30163,Dell Inspiron 11 3148 Laptop,3,Student
HP 15-AY023na (N3710/8GB/2TB/W10) Notebook,1,15.6,A,8,P,WI,2.04,30163,Dell Inspiron 11 3148 Laptop,3,Student
Acer Aspire A315-51 Notebook,1,15.6,A,4,R,LI,2.1,30241,Dell Inspiron 11 3148 Laptop,3,Student
HP 250 G6 Notebook,1,15.6,B,4,R,NO,1.86,30543,Dell Inspiron 11 3148 Laptop,3,Student
Acer Aspire 3 Notebook,1,15.6,B,4,Q,WI,2.1,30628,Dell Inspiron 11 3148 Laptop,3,Student
HP 250 G6 Notebook,1,15.6,A,4,R,WI,1.86,30783,Dell Inspiron 11 3148 Laptop,3,Student
HP 255 G6 Notebook,1,15.6,A,4,Q,WI,1.86,30899,Dell Inspiron 11 3148 Laptop,3,Student
HP 250 G6 Notebook,1,15.6,A,4,P,WI,1.86,30938,Dell Inspiron 11 3148 Laptop,3,Student
Asus X541NA-GO414T (N3350/8GB/1TB/W10) Notebook,3,15.6,A,8,P,WI,2,30938,Dell Inspiron 11 3148 Laptop,3,Student
Asus X541NA-GO121 (N4200/4GB/1TB/LI) Notebook,2,15.6,A,4,Q,LI,2,30938,Dell Inspiron 11 3148 Laptop,3,Student
Lenovo IdeaPad 320-15AST Notebook,1,15.6,A,4,Q,WI,2.2,30938,Dell Inspiron 11 3148 Laptop,3,Student
Lenovo IdeaPad 320-15AST Notebook,1,15.6,B,4,R,WI,2.2,30938,Dell Inspiron 11 3148 Laptop,3,Student
Asus Pro P2540UA-XO0198T Notebook,1,15.6,B,4,R,WI,2.37,30938,Dell Inspiron 11 3148 Laptop,3,Student
Acer Aspire 3 Notebook,1,15.6,B,4,Q,WI,2.1,31016,Dell Inspiron 11 3148 Laptop,3,Student
Asus X555BP-XX180T (A9-9420/4GB/1TB/Radeon Notebook,1,15.6,B,4,Q,WI,2.03,31249,Dell Inspiron 11 3148 Laptop,3,Student
Lenovo V310-15ISK (i3-6006U/4GB/128GB/FHD/No Notebook,1,15.6,A,4,R,NO,1.85,31287,Dell Inspiron 11 3148 Laptop,3,Student
Lenovo IdeaPad 320-15ISK Notebook,1,15.6,A,4,R,WI,2.2,31714,Dell Inspiron 11 3148 Laptop,3,Student
Acer Aspire ES1-572 Notebook,3,15.6,A,4,R,WI,2.4,31853,Dell Inspiron 11 3148 Laptop,3,Student
Acer Aspire 3 Notebook,3,15.6,A,4,Q,LI,2.1,31946,Dell Inspiron 11 3148 Laptop,3,Student
Lenovo Ideapad 310-15ISK Notebook,1,15.6,A,4,R,WI,1.85,32171,Dell Inspiron 11 3148 Laptop,3,Student
Asus X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/LI) Notebook,1,15.6,A,4,R,LI,2,32179,Dell Inspiron 11 3148 Laptop,3,Student
Dell Inspiron 3567 Notebook,1,15.6,A,4,R,WI,2.3,32461,Dell Inspiron 11 3148 Laptop,3,Student
Lenovo Ideapad 320-15IAP Notebook,3,15.6,A,4,P,WI,2.2,32489,Dell Inspiron 11 3148 Laptop,3,Student
Asus L502NA-GO052T (N3350/4GB/128GB/W10) Notebook,1,15.6,A,4,P,WI,1.86,32489,Dell Inspiron 11 3148 Laptop,3,Student
Acer Aspire 3 Notebook,1,15.6,B,4,Q,WI,2.1,33032,Dell Inspiron 11 3148 Laptop,3,Student
Dell Inspiron 3567 Notebook,2,15.6,A,4,Q,LI,2.25,33187,Dell Inspiron 11 3148 Laptop,3,Student
Lenovo IdeaPad 320-15ABR Notebook,3,15.6,B,8,Q,WI,2.2,33265,Dell Inspiron 11 3148 Laptop,3,Student
Acer TravelMate B Netbook,1,11.6,A,4,P,WI,1.4,33730,Dell Inspiron 11 3148 Laptop,3,Student
HP 250 G6 Notebook,1,15.6,A,4,Q,WI,1.86,34016,Dell Inspiron 11 3148 Laptop,3,Student
HP 15-bs002nv (i3-6006U/4GB/128GB/FHD/W10) Notebook,1,15.6,A,4,R,WI,1.91,34040,Dell Inspiron 11 3148 Laptop,3,Student
HP 250 G6 Notebook,1,15.6,A,4,R,WI,1.86,34040,Dell Inspiron 11 3148 Laptop,3,Student
Dell Inspiron 3567 Notebook,1,15.6,B,6,R,WI,2.3,34040,Dell Inspiron 11 3148 Laptop,3,Student
HP 17-ak001nv (A6-9220/4GB/500GB/Radeon Notebook,1,17.3,A,4,R,WI,2.71,34040,Dell Inspiron 11 3148 Laptop,3,Student
Acer Aspire ES1-572 Notebook,1,15.6,B,4,R,LI,2.4,34257,Dell Inspiron 11 3148 Laptop,3,Student
Dell Vostro 3568 Notebook,1,15.6,A,4,R,LI,2.18,34420,Dell Inspiron 11 3148 Laptop,3,Student
Lenovo IdeaPad 320-15ISK Notebook,1,15.6,A,4,R,NO,2.2,34428,Dell Inspiron 11 3148 Laptop,3,Student
HP 15-BW094nd (A6-9220/8GB/128GB/W10) Notebook,1,15.6,A,8,Q,WI,1.91,34575,Dell Inspiron 11 3148 Laptop,3,Student
Toshiba Satellite Pro Notebook,1,15.6,A,4,R,WI,2.1,34660,Dell Inspiron 11 3148 Laptop,3,Student
Acer Aspire A315-51 Notebook,1,15.6,A,4,R,WI,2.1,34660,Dell Inspiron 11 3148 Laptop,3,Student
Chuwi LapBook 12.3 Notebook,1,12.3,A,6,P,WI,1.4,34815,Dell Inspiron 11 3148 Laptop,3,Student
Dell Inspiron 3567 Notebook,1,15.6,A,4,Q,WI,2.2,34815,Dell Inspiron 11 3148 Laptop,3,Student
Asus X541NA (N4200/4GB/1TB/W10) Notebook,1,15.6,A,4,Q,WI,2,34815,Dell Inspiron 11 3148 Laptop,3,Student
Lenovo V310-15ISK (i3-6006U/4GB/1TB/FHD/W10) Notebook,1,15.6,A,4,R,WI,1.85,34815,Dell Inspiron 11 3148 Laptop,3,Student
Acer Aspire A315-51 Notebook,1,15.6,A,4,R,WI,2.1,34815,Dell Inspiron 11 3148 Laptop,3,Student
Lenovo V310-15ISK (i3-6006U/4GB/500GB/No Notebook,3,15.6,A,4,Q,NO,1.9,34893,Dell Inspiron 11 3148 Laptop,3,Student
Acer Extensa EX2540 Notebook,1,15.6,A,4,R,WI,2.4,34893,Dell Inspiron 11 3148 Laptop,3,Student
Acer Aspire 3 Notebook,1,15.6,B,4,Q,WI,2.1,34971,Dell Inspiron 11 3148 Laptop,3,Student
Dell Vostro 3568 Notebook,2,15.6,A,4,Q,LI,2.18,35335,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 320-15ISK Notebook,1,15.6,A,8,Q,NO,2.2,35591,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 110-15ISK Notebook,1,15.6,A,8,R,WI,2.29,35591,New Inspiron 15 3584 Laptop,4,Student
Dell Inspiron 3567 Notebook,1,15.6,B,8,R,WI,2.3,35591,New Inspiron 15 3584 Laptop,4,Student
Lenovo ThinkPad 13 Notebook,1,13.3,A,4,Q,CH,1.45,35661,New Inspiron 15 3584 Laptop,4,Student
Lenovo V310-15ISK (i5-6200U/4GB/1TB/FHD/No Notebook,1,15.6,B,4,R,NO,2.15,35851,New Inspiron 15 3584 Laptop,4,Student
Dell Vostro 3568 Notebook,1,15.6,A,4,Q,LI,2.18,36056,New Inspiron 15 3584 Laptop,4,Student
Dell Inspiron 3567 Notebook,3,15.6,A,4,Q,LI,2.25,36104,New Inspiron 15 3584 Laptop,4,Student
Asus X751NV-TY001T (N4200/4GB/1TB/GeForce Notebook,2,17.3,A,4,Q,WI,2.8,36134,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 320-15IKBN Notebook,1,15.6,B,4,R,NO,2.2,36211,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 320-15IKBN Notebook,1,15.6,B,4,R,NO,2.2,36289,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 110-15ISK Notebook,2,15.6,A,4,Q,NO,2.2,36366,New Inspiron 15 3584 Laptop,4,Student
HP 15-BS028nv (i3-6006U/4GB/1TB/Radeon Notebook,1,15.6,A,4,Q,WI,2.1,36366,New Inspiron 15 3584 Laptop,4,Student
Acer ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10) Notebook,1,15.6,A,8,Q,WI,2.23,36366,New Inspiron 15 3584 Laptop,4,Student
Asus X505BP-BR019T (A9-9420/4GB/1TB/Radeon Notebook,1,15.6,B,4,Q,WI,1.68,36366,New Inspiron 15 3584 Laptop,4,Student
Acer Aspire 5 Notebook,1,15.6,A,4,R,WI,2.2,36366,New Inspiron 15 3584 Laptop,4,Student
HP 250 G6 Notebook,1,15.6,A,4,R,WI,1.86,36366,New Inspiron 15 3584 Laptop,4,Student
Asus X751NV-TY001 (N4200/4GB/1TB/GeForce Notebook,1,17.3,A,4,Q,WI,2.8,36470,New Inspiron 15 3584 Laptop,4,Student
Lenovo N23 (N3060/4GB/128GB/W10) Netbook,1,11.6,A,4,P,WI,1.4,36832,New Inspiron 15 3584 Laptop,4,Student
Dell Inspiron 3168 2 in 1 Convertible,1,11.6,A,4,P,WI,1.47,37142,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 110-15ISK Notebook,1,15.6,A,4,Q,NO,2.2,37142,New Inspiron 15 3584 Laptop,4,Student
Acer Spin 3 Notebook,1,15.6,B,6,R,WI,2.1,37142,New Inspiron 15 3584 Laptop,4,Student
Acer TravelMate B Notebook,1,11.6,A,4,P,WI,1.4,37607,New Inspiron 15 3584 Laptop,4,Student
Dell Inspiron 3567 Notebook,3,15.6,A,4,Q,LI,2.2,37607,New Inspiron 15 3584 Laptop,4,Student
HP 250 G6 Notebook,1,15.6,B,4,Q,WI,1.86,37893,New Inspiron 15 3584 Laptop,4,Student
HP 15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10) Notebook,1,15.6,B,4,Q,WI,1.91,37916,New Inspiron 15 3584 Laptop,4,Student
HP 15-BW037na (A9-9420/4GB/1TB/Radeon Notebook,3,15.6,B,4,Q,WI,2.1,37917,New Inspiron 15 3584 Laptop,4,Student
Toshiba Satellite Pro Notebook,1,15.6,B,4,R,WI,2,37917,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 110-17ACL Notebook,1,17.3,A,4,Q,WI,2.6,37917,New Inspiron 15 3584 Laptop,4,Student
HP 17-BS037cl (i3-6006U/8GB/1TB/W10) Notebook,1,17.3,A,8,R,WI,2.54,37917,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 320-17ISK Notebook,2,17.3,A,4,R,WI,2.8,37917,New Inspiron 15 3584 Laptop,4,Student
Lenovo V310-15IKB (i5-20U/4GB/1TB/No Notebook,3,15.6,B,4,Q,NO,1.9,37987,New Inspiron 15 3584 Laptop,4,Student
Lenovo V110-15ISK (i3-6006U/4GB/500GB/W10) Notebook,3,15.6,A,4,Q,WI,2.1,37987,New Inspiron 15 3584 Laptop,4,Student
Lenovo V110-15ISK (i5-6200U/4GB/128GB/W10) Notebook,1,15.6,B,4,R,WI,2.1,38227,New Inspiron 15 3584 Laptop,4,Student
HP Chromebook X360 2 in 1 Convertible,1,11.6,A,8,P,CH,1.4,38382,New Inspiron 15 3584 Laptop,4,Student
Toshiba Satellite Pro Notebook,3,15.6,A,4,Q,WI,2.1,38615,New Inspiron 15 3584 Laptop,4,Student
Lenovo V110-15IKB (i5-20U/4GB/128GB/W10) Notebook,1,15.6,B,4,R,WI,1.9,38615,New Inspiron 15 3584 Laptop,4,Student
Dell Inspiron 3567 Notebook,1,15.6,A,4,Q,WI,3.2,38685,New Inspiron 15 3584 Laptop,4,Student
Toshiba Satellite Pro Notebook,3,14,A,4,Q,WI,1.75,38692,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 320-15ISK Notebook,1,15.6,A,8,Q,NO,2.2,38692,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 320-15IKBN Notebook,1,15.6,B,4,Q,NO,2.2,38692,New Inspiron 15 3584 Laptop,4,Student
HP 15-BW004nv (A9-9420/4GB/256GB/Radeon Ultrabook,1,15.6,B,4,Q,WI,1.91,38692,New Inspiron 15 3584 Laptop,4,Student
HP 15-bs005nv (i3-6006U/4GB/1TB Notebook,2,15.6,A,4,Q,WI,2.1,38692,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 310-15ABR Notebook,1,15.6,B,6,Q,WI,2.4,38692,New Inspiron 15 3584 Laptop,4,Student
Acer Aspire E5-575 Notebook,2,15.6,B,4,Q,WI,2.4,38692,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 320-15IKB Notebook,1,15.6,B,8,R,NO,2.2,38692,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 320-15ISK Notebook,1,15.6,A,4,R,WI,2.2,38692,New Inspiron 15 3584 Laptop,4,Student
Asus VivoBook S14 Notebook,1,14,B,4,R,WI,1.3,39468,New Inspiron 15 3584 Laptop,4,Student
Asus VivoBook Max Notebook,1,15.6,B,4,Q,LI,2.1,40243,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 320-15IKBN Notebook,3,15.6,B,8,Q,NO,2.2,40243,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 320-15AST Notebook,1,17.3,A,8,Q,WI,2.8,40243,New Inspiron 15 3584 Laptop,4,Student
HP 17-AK091ND (A9-9420/8GB/1TB/W10) Notebook,1,17,B,8,Q,WI,2.6,40391,New Inspiron 15 3584 Laptop,4,Student
HP 15-bs190od (i5-8250U/4GB/1TB/W10) Notebook,1,15.6,B,4,Q,WI,2.04,40435,New Inspiron 15 3584 Laptop,4,Student
Asus X542UQ-GO005 (i5-20U/8GB/1TB/GeForce Notebook,1,15.6,B,8,R,LI,2.3,40553,Dell Vostro 15 3578 (A553109WIN9) Laptop ,5,Executive
Lenovo V320-17ISK (i3-6006U/4GB/500GB/FHD/No Notebook,1,17.3,A,4,R,NO,2.8,41019,Dell Vostro 15 3578 (A553109WIN9) Laptop ,5,Executive
Acer Aspire A515-51G-32MX Notebook,1,15.6,B,4,Q,WI,2.2,41096,Dell Vostro 15 3578 (A553109WIN9) Laptop ,5,Executive
Asus X751SV-TY001T (N3710/4GB/1TB/GeForce Notebook,1,17.3,A,4,Q,WI,2.8,41096,Dell Vostro 15 3578 (A553109WIN9) Laptop ,5,Executive
Lenovo IdeaPad 320-15ISK Notebook,3,15.6,B,4,R,WI,2.2,41484,Dell Vostro 15 3578 (A553109WIN9) Laptop ,5,Executive
